training/training	SRR5891912	SRR5892053	SRR10741173	SRR5891909	SRR5891915	SRR5891916	SRR8835143	SRR5891950	SRR5891951	SRR5892016	SRR5892018	SRR5892021	SRR14617990	SRR14618001	SRR14618012	SRR14618021	SRR14618023	SRR14618024	SRR14618026	SRR14618038	SRR14618039	SRR14618054	SRR14618074	SRR14618085	SRR14618087	SRR14618090	SRR14618101	SRR5891914	SRR14617991	SRR14618014	SRR14618016	SRR14618017	SRR14618019	SRR14618070	SRR14618071	SRR14618072	SRR14618073	SRR14618075	SRR14618079	SRR14618081	SRR14618082	SRR14618084	SRR14618086	SRR5891799	SRR5891805	SRR5891903	SRR5891920	SRR8835167	SRR5891873	SRR5891700	SRR5891755	SRR14617982	SRR14617985	SRR14617986	SRR14618040	SRR14618041	SRR14618042	SRR14618044	SRR14618046	SRR14618047	SRR14618057	SRR14618110	SRR14618111	SRR5891919	SRR10741171	SRR10741172	SRR11078313	SRR14617983	SRR14617999	SRR14618011	SRR14618015	SRR14618030	SRR14618045	SRR14618049	SRR14618050	SRR14618053	SRR14618055	SRR14618056	SRR14618059	SRR14618064	SRR14618065	SRR14618107	SRR7662554	SRR7662556	SRR8699312	SRR11078309	SRR11078312	SRR5891798	SRR5891917	SRR5892051	SRR7662543	SRR7662555	SRR7662546	SRR7662555	SRR14618103	SRR14618104	SRR14618105	SRR14618108	SRR14617989	SRR14617996	SRR14617997	SRR14617998	SRR14618000	SRR14618003	SRR14618005	SRR14618006	SRR14618008	SRR14618009	SRR14618010	SRR14618061	SRR14618062	SRR14618066	SRR14618067	SRR14618068	SRR14618031	SRR14618032	SRR14618033	SRR14618034	SRR14618088	SRR14618089	SRR14618091	SRR14618092	SRR14618094	SRR14618095	SRR14618096	SRR14618097	SRR14618099	SRR14618100	SRR5891622	SRR5627788	SRR10741175	SRR5891650	SRR5891651	SRR5891652	SRR5891653	SRR6156375	SRR8699314	CRR493609	CRR493665	CRR493772	CRR493807	CRR493832	CRR494031	CRR494310	CRR494509	CRR494572	CRR494592	CRR494800	CRR494802	CRR495014	CRR495154	CRR495378	CRR495613	CRR495796	CRR495808	CRR495837	CRR495860	CRR495895	CRR495935	CRR495956	CRR495997	CRR496640	CRR496656	CRR496761	CRR496770	CRR496966	CRR497178	CRR497209	CRR497295	CRR497321	CRR497336	CRR497525	CRR497853	CRR498142	CRR498226	CRR498282	CRR498575	CRR499508	SRR5891628	SRR5891801
SRR5891912	1	0.364054	0.282958	0.304655	0.298997	0.276511	0.256119	0.291534	0.271464	0.295666	0.293208	0.307557	0.425437	0.434123	0.432234	0.431557	0.429833	0.431884	0.427409	0.430701	0.422094	0.428908	0.430087	0.430052	0.428247	0.431081	0.431598	0.303888	0.292766	0.290886	0.309044	0.298676	0.30116	0.307441	0.294387	0.295881	0.292918	0.291122	0.293936	0.288738	0.30858	0.290693	0.291323	0.30698	0.285297	0.317704	0.332293	0.294244	0.308753	0.280927	0.280602	0.414838	0.401537	0.401373	0.395973	0.401501	0.417311	0.417618	0.408659	0.378855	0.42057	0.398069	0.399913	0.402614	0.27589	0.286044	0.244264	0.348217	0.281021	0.269555	0.304406	0.358891	0.408041	0.417019	0.365543	0.420871	0.422078	0.42379	0.238067	0.28278	0.283463	0.287648	0.271085	0.274076	0.295574	0.284967	0.274402	0.294207	0.321888	0.287233	0.276644	0.278528	0.262276	0.278528	0.32452	0.324234	0.329988	0.32815	0.289534	0.283708	0.280828	0.28129	0.286787	0.280311	0.280492	0.278884	0.279285	0.275067	0.285461	0.28003	0.280482	0.283567	0.282935	0.285499	0.374518	0.37481	0.370043	0.371382	0.373744	0.363793	0.3671	0.367895	0.386742	0.375065	0.381283	0.381534	0.376439	0.366135	0.301318	0.161027	0.354011	0.321322	0.363619	0.352248	0.311044	0.354557	0.2843	0.29287	0.296319	0.25398	0.292659	0.295313	0.294177	0.292881	0.287618	0.298502	0.293697	0.295485	0.295427	0.27027	0.265955	0.293116	0.292843	0.294508	0.293189	0.294736	0.295784	0.295333	0.290621	0.292961	0.295369	0.29134	0.297398	0.292195	0.292579	0.310681	0.29519	0.287202	0.305571	0.299346	0.303098	0.299032	0.295266	0.293556	0.295792	0.296531	0.292468	0.289903	0.298443	0.270294
SRR5892053	0.364054	1	0.309114	0.313364	0.303389	0.276229	0.255377	0.287546	0.267857	0.291489	0.289075	0.30277	0.362752	0.36083	0.357925	0.362826	0.355549	0.359127	0.355025	0.357176	0.364577	0.355638	0.354688	0.357388	0.356401	0.356562	0.363896	0.299722	0.294002	0.291826	0.309673	0.300085	0.302939	0.308442	0.295647	0.296915	0.293968	0.292341	0.295324	0.290024	0.309444	0.291952	0.292667	0.333973	0.285183	0.345634	0.385285	0.295677	0.30382	0.276969	0.276328	0.383268	0.371256	0.370558	0.367156	0.372555	0.383422	0.376469	0.377136	0.352391	0.387773	0.367324	0.36943	0.372378	0.275792	0.300871	0.242586	0.322393	0.280894	0.288144	0.298996	0.367964	0.357905	0.385798	0.341141	0.35736	0.360335	0.367459	0.241709	0.280768	0.308687	0.278996	0.269266	0.272308	0.302426	0.284712	0.27431	0.290606	0.352497	0.287368	0.275678	0.277016	0.259711	0.277016	0.314836	0.315569	0.322283	0.317373	0.290451	0.286172	0.283335	0.283964	0.288755	0.282814	0.282846	0.281078	0.281851	0.278706	0.287655	0.28228	0.282925	0.286184	0.28556	0.286521	0.425907	0.425362	0.425536	0.426649	0.445911	0.438186	0.441187	0.440565	0.426961	0.418429	0.415405	0.426236	0.457159	0.44166	0.296372	0.159578	0.414142	0.346935	0.437258	0.406251	0.333506	0.41183	0.280348	0.288879	0.292482	0.251188	0.288642	0.291556	0.290189	0.288882	0.283642	0.294278	0.289418	0.291578	0.291469	0.266557	0.271587	0.289299	0.28899	0.290405	0.289536	0.290812	0.291756	0.291372	0.286447	0.28906	0.291441	0.287479	0.293327	0.28826	0.289026	0.306692	0.290922	0.283087	0.301421	0.295327	0.298723	0.294331	0.291797	0.289607	0.292015	0.292222	0.288497	0.285717	0.294816	0.297041
SRR10741173	0.282958	0.309114	1	0.286943	0.272125	0.27537	0.260344	0.23929	0.227997	0.244261	0.24184	0.249349	0.282543	0.284483	0.283829	0.28515	0.28315	0.284183	0.283368	0.283692	0.281692	0.282918	0.282045	0.283743	0.282922	0.282889	0.284872	0.244865	0.267617	0.266791	0.273158	0.269364	0.271679	0.272629	0.268143	0.269155	0.267827	0.266743	0.267877	0.265714	0.271342	0.252765	0.267646	0.276044	0.254877	0.293738	0.289261	0.267729	0.250456	0.232948	0.233319	0.289911	0.285552	0.285487	0.284226	0.286458	0.289574	0.288087	0.283163	0.264005	0.290925	0.284684	0.285029	0.284957	0.260041	0.309126	0.233933	0.272663	0.246674	0.256144	0.269482	0.291293	0.282443	0.290332	0.277086	0.283166	0.284229	0.285718	0.247182	0.249481	0.26487	0.25153	0.25319	0.245546	0.301418	0.25123	0.248267	0.24052	0.303352	0.26065	0.252235	0.254704	0.240095	0.254704	0.270824	0.270934	0.273579	0.27081	0.266031	0.243841	0.242334	0.242562	0.244906	0.24259	0.242229	0.241588	0.242453	0.239838	0.24432	0.242158	0.242219	0.243771	0.243064	0.245452	0.302882	0.303772	0.302884	0.303297	0.307038	0.305333	0.30709	0.306663	0.302875	0.301593	0.300754	0.302961	0.307918	0.304969	0.245471	0.134568	0.337132	0.27491	0.317328	0.316359	0.323364	0.318366	0.235291	0.239635	0.241559	0.201931	0.239037	0.240609	0.240225	0.239271	0.236292	0.2421	0.239224	0.24096	0.240886	0.224839	0.35406	0.239368	0.239413	0.24007	0.239498	0.240487	0.240866	0.240664	0.238063	0.239745	0.240618	0.238518	0.241976	0.239082	0.239596	0.249987	0.240284	0.235843	0.24609	0.242676	0.244697	0.242235	0.240944	0.239661	0.241179	0.241007	0.239196	0.237161	0.242196	0.265128
SRR5891909	0.304655	0.313364	0.286943	1	0.306995	0.302279	0.274884	0.287134	0.26489	0.285585	0.286748	0.297506	0.312428	0.304549	0.301866	0.306968	0.298584	0.302314	0.297709	0.299931	0.31989	0.299613	0.29658	0.298612	0.300974	0.299301	0.308495	0.300438	0.313067	0.310471	0.326584	0.319629	0.321844	0.329196	0.314759	0.315859	0.312796	0.310622	0.315417	0.308656	0.333066	0.317172	0.310498	0.282388	0.299193	0.311447	0.292373	0.31476	0.299107	0.275097	0.273383	0.321405	0.315863	0.315389	0.312923	0.318305	0.322943	0.314301	0.321326	0.306616	0.324703	0.31147	0.314687	0.318662	0.281728	0.271965	0.247243	0.281172	0.273394	0.259182	0.297014	0.291582	0.296157	0.325758	0.301753	0.298483	0.302417	0.308507	0.25499	0.267026	0.268587	0.268405	0.280069	0.275816	0.295541	0.293032	0.281596	0.293014	0.309005	0.29443	0.280785	0.282881	0.265012	0.282881	0.29404	0.295689	0.301248	0.299232	0.309811	0.286494	0.282499	0.283066	0.289764	0.281905	0.281993	0.280127	0.280456	0.275267	0.289031	0.281305	0.281858	0.286324	0.285389	0.288321	0.307642	0.309624	0.305548	0.305465	0.315901	0.306039	0.309703	0.311464	0.315471	0.305327	0.305367	0.317115	0.322183	0.30767	0.292603	0.160574	0.306765	0.304912	0.316612	0.328043	0.307395	0.327468	0.280884	0.28874	0.293759	0.262293	0.289292	0.292368	0.291099	0.289565	0.282948	0.295788	0.290353	0.292057	0.291941	0.267139	0.271768	0.289893	0.289431	0.291301	0.289984	0.29164	0.292397	0.292471	0.287203	0.288885	0.292117	0.288274	0.294528	0.288847	0.289483	0.308938	0.29212	0.283865	0.301208	0.295066	0.299124	0.293892	0.292656	0.290137	0.293056	0.29226	0.288852	0.286162	0.295613	0.252709
SRR5891915	0.298997	0.303389	0.272125	0.306995	1	0.299548	0.264857	0.280819	0.261479	0.28342	0.282424	0.294875	0.304449	0.299842	0.297861	0.301264	0.295012	0.297674	0.294383	0.296227	0.30751	0.295505	0.293402	0.294991	0.296934	0.295269	0.302514	0.294039	0.333135	0.334073	0.345159	0.33823	0.3432	0.347433	0.334979	0.33651	0.336098	0.334553	0.333373	0.328762	0.343613	0.318963	0.337766	0.273597	0.303805	0.300043	0.28394	0.334088	0.295804	0.271743	0.271005	0.31534	0.310649	0.309969	0.308296	0.313078	0.315212	0.308226	0.311828	0.293553	0.318816	0.307725	0.309697	0.312051	0.284588	0.265853	0.247867	0.278308	0.277913	0.257893	0.308779	0.285069	0.291603	0.31893	0.297953	0.292972	0.296177	0.302536	0.254518	0.273355	0.266994	0.275372	0.27379	0.274965	0.286573	0.290088	0.279726	0.282934	0.298928	0.293102	0.281224	0.284015	0.263136	0.284015	0.301354	0.304322	0.308058	0.306443	0.32873	0.289305	0.286574	0.287095	0.292337	0.285942	0.286479	0.285099	0.285506	0.280724	0.290631	0.286261	0.286299	0.289668	0.288552	0.29147	0.300326	0.302463	0.298942	0.299258	0.309028	0.298778	0.302463	0.302655	0.306733	0.297793	0.299297	0.306189	0.314452	0.301161	0.290315	0.157744	0.297948	0.291615	0.304475	0.295207	0.294332	0.296919	0.275496	0.283535	0.286888	0.244893	0.282931	0.285468	0.284753	0.283599	0.278403	0.288445	0.28392	0.286	0.286028	0.26196	0.263091	0.283656	0.283466	0.285038	0.283877	0.285611	0.28598	0.286032	0.281636	0.284064	0.285939	0.282587	0.287617	0.282687	0.283527	0.300394	0.285537	0.277995	0.295181	0.289846	0.293281	0.289351	0.286044	0.284108	0.286417	0.286935	0.283129	0.280736	0.288546	0.246213
SRR5891916	0.276511	0.276229	0.27537	0.302279	0.299548	1	0.281999	0.264305	0.247285	0.266879	0.266333	0.27609	0.280987	0.276593	0.274777	0.278329	0.272172	0.274758	0.271519	0.273098	0.283417	0.273225	0.270949	0.272413	0.27431	0.273023	0.279233	0.27606	0.296521	0.294753	0.309261	0.301642	0.302493	0.305853	0.297769	0.298034	0.29646	0.295298	0.297587	0.293812	0.306222	0.286506	0.295213	0.255442	0.282308	0.278901	0.262655	0.29713	0.277269	0.256492	0.256472	0.289914	0.286417	0.285664	0.284241	0.288273	0.289673	0.283875	0.286725	0.270122	0.292487	0.283266	0.285352	0.288044	0.28093	0.254222	0.246502	0.259418	0.272853	0.256027	0.280981	0.263552	0.269567	0.293016	0.276591	0.271057	0.2739	0.279494	0.282126	0.262879	0.261012	0.266414	0.273992	0.266136	0.277493	0.282163	0.273658	0.266779	0.284024	0.28779	0.275286	0.279668	0.258166	0.279668	0.27911	0.281169	0.284336	0.282713	0.293974	0.286078	0.283584	0.283583	0.288468	0.282361	0.283094	0.281955	0.282021	0.278619	0.287068	0.283073	0.283314	0.286037	0.284941	0.287765	0.274314	0.27583	0.27274	0.272922	0.280509	0.272582	0.275082	0.275533	0.280484	0.272961	0.27396	0.280031	0.285053	0.27404	0.272237	0.150329	0.271246	0.272862	0.278134	0.271133	0.28618	0.271453	0.25965	0.267016	0.270065	0.229729	0.26662	0.268667	0.267955	0.266986	0.262328	0.271603	0.267612	0.269269	0.269302	0.248064	0.265419	0.267417	0.266695	0.26841	0.267175	0.268379	0.269269	0.268914	0.265107	0.267359	0.269057	0.265713	0.270683	0.266279	0.26672	0.281483	0.268638	0.262288	0.276962	0.272429	0.275442	0.27186	0.269215	0.267332	0.269565	0.269683	0.266517	0.264422	0.271603	0.244398
SRR8835143	0.256119	0.255377	0.260344	0.274884	0.264857	0.281999	1	0.278779	0.274204	0.273133	0.287723	0.272786	0.261392	0.256957	0.25548	0.259037	0.252685	0.255575	0.252227	0.253819	0.266345	0.253869	0.251639	0.253247	0.255258	0.253359	0.25925	0.315311	0.261227	0.2595	0.269093	0.264833	0.267475	0.270981	0.26234	0.262585	0.260825	0.259379	0.26156	0.259104	0.271566	0.256193	0.259891	0.264018	0.300034	0.276032	0.252521	0.262962	0.27535	0.268677	0.272347	0.265336	0.263089	0.262571	0.260889	0.264531	0.26613	0.261196	0.262959	0.248624	0.266963	0.259956	0.262043	0.266048	0.295997	0.299693	0.306314	0.245984	0.238284	0.226308	0.254162	0.248555	0.250255	0.267719	0.257405	0.253136	0.255895	0.258962	0.2411	0.236222	0.232855	0.236517	0.340179	0.318105	0.309982	0.275837	0.282555	0.303743	0.266275	0.301135	0.303239	0.298917	0.32162	0.298917	0.252334	0.254169	0.258028	0.256783	0.258665	0.244563	0.242075	0.242314	0.246674	0.241506	0.24157	0.240198	0.240059	0.237549	0.245989	0.241014	0.241501	0.244241	0.244145	0.245548	0.251769	0.253426	0.250178	0.250164	0.255902	0.250136	0.252063	0.253221	0.257568	0.250371	0.252137	0.258571	0.260062	0.250396	0.272753	0.14276	0.249183	0.277988	0.259011	0.255029	0.270717	0.248928	0.318828	0.318378	0.330322	0.25129	0.320834	0.322319	0.325369	0.326635	0.32039	0.32794	0.325516	0.329751	0.329479	0.313393	0.339306	0.332058	0.325079	0.325437	0.329217	0.322168	0.327785	0.330975	0.329791	0.31946	0.330981	0.32694	0.324832	0.32453	0.324967	0.332575	0.325461	0.316226	0.310932	0.31601	0.312862	0.309859	0.327777	0.324278	0.335758	0.315163	0.322815	0.313772	0.330007	0.224663
SRR5891950	0.291534	0.287546	0.23929	0.287134	0.280819	0.264305	0.278779	1	0.44471	0.389428	0.391279	0.375757	0.301236	0.292429	0.289941	0.29523	0.286241	0.290061	0.285018	0.287588	0.309116	0.287135	0.283997	0.28615	0.289656	0.286955	0.296562	0.358439	0.276067	0.273298	0.293174	0.283133	0.285121	0.292948	0.277883	0.278787	0.275844	0.273814	0.277479	0.271821	0.296399	0.282826	0.273901	0.307939	0.293455	0.28872	0.291391	0.277711	0.375717	0.333623	0.3333	0.31002	0.305987	0.305128	0.302876	0.308804	0.311137	0.301654	0.309623	0.294698	0.313599	0.301494	0.304634	0.309005	0.279223	0.285565	0.261198	0.272634	0.257995	0.239245	0.26983	0.274438	0.282983	0.314423	0.294896	0.286059	0.290238	0.296565	0.225611	0.250703	0.24827	0.252765	0.304656	0.304595	0.308881	0.287531	0.280611	0.375623	0.283276	0.294065	0.288585	0.289808	0.289575	0.289808	0.27687	0.27892	0.285084	0.28339	0.272157	0.272915	0.269119	0.269684	0.276527	0.268389	0.26885	0.267101	0.267001	0.262094	0.275357	0.268243	0.268825	0.27277	0.272186	0.274315	0.284344	0.286373	0.281897	0.282198	0.291413	0.281275	0.284699	0.286343	0.292971	0.282263	0.284318	0.294638	0.297651	0.282858	0.352762	0.164945	0.278039	0.314212	0.291159	0.281354	0.274168	0.277538	0.354119	0.345421	0.356528	0.297787	0.34604	0.350009	0.347911	0.352708	0.340728	0.353985	0.348177	0.351167	0.351287	0.323372	0.276722	0.349331	0.348769	0.349791	0.351658	0.350765	0.352542	0.350789	0.347298	0.344975	0.351039	0.347493	0.354361	0.3459	0.34809	0.383045	0.356511	0.341959	0.355774	0.348544	0.353274	0.349331	0.351107	0.350487	0.353591	0.34696	0.346442	0.342743	0.359554	0.230309
SRR5891951	0.271464	0.267857	0.227997	0.26489	0.261479	0.247285	0.274204	0.44471	1	0.366618	0.374149	0.348483	0.278429	0.27201	0.270092	0.274352	0.267135	0.270224	0.266067	0.267975	0.283753	0.267629	0.26494	0.26669	0.269398	0.267448	0.275352	0.33676	0.257585	0.255105	0.271496	0.263358	0.265198	0.271431	0.258944	0.259777	0.257212	0.255506	0.258693	0.25376	0.273401	0.259875	0.25555	0.295488	0.285093	0.270962	0.275411	0.258975	0.349015	0.317464	0.321935	0.285808	0.282692	0.281856	0.280211	0.285062	0.286802	0.279261	0.284238	0.269489	0.288768	0.27907	0.281611	0.285735	0.266103	0.275057	0.258126	0.256096	0.241135	0.225185	0.253278	0.257325	0.264116	0.289595	0.274215	0.266675	0.270128	0.275319	0.213586	0.235794	0.233347	0.237387	0.289821	0.290936	0.291139	0.270541	0.265018	0.35851	0.263767	0.278764	0.274937	0.272247	0.28266	0.272247	0.258498	0.260463	0.265506	0.264083	0.254292	0.252166	0.248984	0.249515	0.255152	0.248482	0.248848	0.247285	0.24721	0.243214	0.253876	0.248368	0.24871	0.252019	0.251611	0.253376	0.264458	0.266194	0.262438	0.262862	0.27045	0.262095	0.264781	0.266046	0.271469	0.263057	0.264651	0.272895	0.275435	0.263255	0.328005	0.152776	0.259414	0.292058	0.270071	0.263757	0.257171	0.258168	0.335565	0.330885	0.340092	0.272805	0.331849	0.33515	0.333261	0.339888	0.329985	0.339919	0.336066	0.339741	0.339865	0.317201	0.271894	0.334062	0.334342	0.336604	0.339596	0.336796	0.340747	0.341872	0.334226	0.331086	0.336012	0.334195	0.340133	0.331744	0.336454	0.368611	0.349883	0.329381	0.334796	0.334536	0.333344	0.329893	0.338802	0.337051	0.339924	0.333898	0.334651	0.327972	0.349298	0.219438
SRR5892016	0.295666	0.291489	0.244261	0.285585	0.28342	0.266879	0.273133	0.389428	0.366618	1	0.458019	0.405849	0.30327	0.296126	0.293893	0.298575	0.290539	0.293937	0.289201	0.291739	0.308645	0.2911	0.288371	0.290217	0.293311	0.291151	0.300006	0.341549	0.278771	0.276245	0.295391	0.28519	0.287096	0.293764	0.280419	0.281329	0.278312	0.276931	0.280209	0.274857	0.296164	0.280579	0.276683	0.326035	0.290923	0.289419	0.305851	0.279947	0.40571	0.335855	0.337839	0.312807	0.309375	0.308154	0.306296	0.311553	0.31355	0.305071	0.310912	0.294292	0.316403	0.305111	0.30783	0.311584	0.27914	0.280217	0.259766	0.276869	0.260355	0.241967	0.273566	0.278982	0.287114	0.317017	0.297911	0.289907	0.293627	0.29991	0.228454	0.254004	0.250911	0.25582	0.295033	0.294355	0.30174	0.286071	0.278758	0.388415	0.284959	0.29226	0.286623	0.286148	0.284195	0.286148	0.281062	0.282663	0.288273	0.287091	0.274994	0.27347	0.270263	0.27077	0.276767	0.269464	0.270065	0.268458	0.268412	0.263853	0.275414	0.269623	0.269945	0.27352	0.272791	0.27514	0.288813	0.29067	0.286326	0.287104	0.296002	0.286152	0.289459	0.290345	0.296955	0.286932	0.288789	0.297693	0.301581	0.287796	0.359852	0.162981	0.282904	0.318455	0.294158	0.285174	0.276804	0.281723	0.345318	0.331488	0.336773	0.279479	0.331843	0.334238	0.333462	0.333276	0.32582	0.338215	0.333287	0.335063	0.335231	0.308999	0.273069	0.332738	0.332219	0.333648	0.333487	0.334138	0.335187	0.335335	0.330181	0.330981	0.334913	0.331043	0.336902	0.331761	0.331786	0.350852	0.335327	0.326195	0.342972	0.336915	0.340503	0.336163	0.335183	0.333008	0.335462	0.334455	0.331241	0.328784	0.338469	0.233155
